         50343999 function calls (50336476 primitive calls) in 552.551 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(_register_at_fork_acquire_release)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
       14    0.000    0.000    0.000    0.000 __init__.py:25(register_func)
        1    0.000    0.000    0.000    0.000 __init__.py:250(IgnoredKeywordWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_parse_commandline)
        1    0.000    0.000    0.001    0.001 __init__.py:27(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:27(get_projection_names)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:281(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:286(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:292(<dictcomp>)
        2    0.000    0.000    0.002    0.001 __init__.py:299(loads)
        2    0.000    0.000    0.009    0.004 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:308(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:311(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:313(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:315(Bunch)
       28    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
      172    0.000    0.000    0.000    0.000 __init__.py:329(iterable)
        1    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:35(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:350(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:379(PyDLL)
      146    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        8    0.000    0.000    0.000    0.000 __init__.py:390(_logged_cached)
  113/105    0.000    0.000    0.001    0.000 __init__.py:409(wrapper)
        1    0.000    0.000    0.005    0.005 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:419(LibraryLoader)
        3    0.000    0.000    0.000    0.000 __init__.py:42(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:420(PercentStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:420(_string_to_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:426(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:435(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:444(StringTemplateStyle)
        2    0.000    0.000    0.019    0.010 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:468(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:48(get_projection_class)
        3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:482(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:491(checkdep_ps_distiller)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:505(GetRealpathAndStat)
        1    0.000    0.000    0.000    0.000 __init__.py:513(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:525(checkdep_usetex)
      212    0.000    0.000    0.004    0.000 __init__.py:540(dedent)
        1    0.000    0.000    0.000    0.000 __init__.py:555(get_home)
        1    0.000    0.000    0.000    0.000 __init__.py:578(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:590(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:6(ProjectionRegistry)
        2    0.000    0.000    0.000    0.000 __init__.py:602(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:609(maxdict)
        1    0.000    0.000    0.000    0.000 __init__.py:615(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:625(get_configdir)
        1    0.000    0.000    0.000    0.000 __init__.py:629(Stack)
        1    0.000    0.000    0.000    0.000 __init__.py:63(process_projection_requirements)
        2    0.000    0.000    0.000    0.000 __init__.py:636(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:643(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:645(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:656(_get_data_path)
        2    0.000    0.000    0.000    0.000 __init__.py:664(push)
        2    0.000    0.000    0.000    0.000 __init__.py:666(get_candidate_paths)
        1    0.000    0.000    0.000    0.000 __init__.py:685(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:687(get_data_path)
        5    0.000    0.000    0.000    0.000 __init__.py:689(clear)
        1    0.000    0.000    0.000    0.000 __init__.py:694(bubble)
        2    0.000    0.000    0.039    0.020 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:70(_StrongRef)
        1    0.000    0.000    0.000    0.000 __init__.py:703(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:722(Filterer)
       22    0.000    0.000    0.000    0.000 __init__.py:727(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        4    0.000    0.000    0.000    0.000 __init__.py:734(gen_candidates)
        3    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:78(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:783(RcParams)
        1    0.000    0.000    0.000    0.000 __init__.py:792(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:794(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:804(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:813(__init__)
       30    0.000    0.000    0.005    0.000 __init__.py:826(__init__)
     1799    0.002    0.000    0.014    0.000 __init__.py:829(__setitem__)
        6    0.000    0.000    0.000    0.000 __init__.py:84(__hash__)
        1    0.000    0.000    0.000    0.000 __init__.py:842(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:867(Grouper)
1109/1107    0.001    0.000    0.090    0.000 __init__.py:870(__getitem__)
        1    0.000    0.000    0.004    0.004 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:88(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:903(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:904(<dictcomp>)
      301    0.000    0.000    0.000    0.000 __init__.py:907(__iter__)
       11    0.000    0.000    0.000    0.000 __init__.py:909(clean)
       11    0.000    0.000    0.000    0.000 __init__.py:912(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:932(copy)
        1    0.000    0.000    0.000    0.000 __init__.py:933(<dictcomp>)
        1    0.000    0.000    0.004    0.004 __init__.py:936(rc_params)
       27    0.000    0.000    0.000    0.000 __init__.py:956(is_url)
        9    0.000    0.000    0.000    0.000 __init__.py:958(get_siblings)
        1    0.000    0.000    0.000    0.000 __init__.py:96(get_projection_names)
